dataset,molecule_no,error_count,warning_count,problem_fields,issue_types
696_features,808,0,33,BertzCT; Chi0; Chi0n; Chi0v; Chi1; Chi1n; Chi1v; Chi2n; Chi2v; Chi3n; Chi3v; Chi4n; Chi4v; Conju-Branch-Num; Conju-Branch-Ratio; EState_VSA4; EState_VSA5; ExactMolWt; HeavyAtomCount; HeavyAtomMolWt; Kappa1; Kappa2; LabuteASA; MolLogP; MolMR; MolWt; NumRotatableBonds; NumValenceElectrons; PEOE_VSA7; RingCount; SMR_VSA5; SlogP_VSA5; VSA_EState4,统计极端值
696_features,804,0,19,BertzCT; Chi0n; Chi0v; Chi1n; Chi1v; Chi2n; Chi2v; Chi3n; Chi3v; Chi4n; Chi4v; EState_VSA4; HeavyAtomCount; NumRotatableBonds; PEOE_VSA7; RingCount; SMR_VSA5; SlogP_VSA5; VSA_EState4,统计极端值
94_features,803,0,15,Apperant-Elec-Count-NegativeDisCoef; Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-GradSum; Atomic-LogP-LaplaceSum; Atomic-LogP-NegativeDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-GradSum; Atomic-MR-NegativeDisCoef; Atomic-MR-PositiveDisCoef; Conju-Branch-Ratio; EState-Indice-GradSum; EState-Indice-NegativeDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-GradSum; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,804,0,14,Apperant-Elec-Count-NegativeDisCoef; Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-GradSum; Atomic-LogP-LaplaceSum; Atomic-LogP-NegativeDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-GradSum; Atomic-MR-NegativeDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-GradSum; EState-Indice-NegativeDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-GradSum; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,808,0,14,Apperant-Elec-Count-NegativeDisCoef; Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-GradSum; Atomic-LogP-LaplaceSum; Atomic-LogP-NegativeDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-NegativeDisCoef; Atomic-MR-PositiveDisCoef; Conju-Branch-Ratio; EState-Indice-GradSum; EState-Indice-NegativeDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-GradSum; PEOE-Charge-PositiveDisCoef,统计极端值
696_features,803,0,12,BertzCT; Chi3n; Chi3v; Chi4n; Chi4v; Conju-Branch-Ratio; EState_VSA4; NumRotatableBonds; RingCount; SMR_VSA5; SlogP_VSA5; VSA_EState4,统计极端值
94_features,659,0,12,Apperant-Elec-Count-NegativeDisCoef; Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-GradSum; Atomic-LogP-LaplaceSum; Atomic-LogP-NegativeDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-NegativeDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-NegativeDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-NegativeDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
696_features,42,0,9,Conju-Branch-Num; Conju-Branch-Ratio; EState_VSA5; Kappa3; NumRotatableBonds; SMR_VSA5; SlogP_VSA5; VSA_EState1; VSA_EState7,统计极端值
696_features,40,0,7,EState_VSA5; Kappa3; NumRotatableBonds; SMR_VSA5; SlogP_VSA5; VSA_EState1; VSA_EState7,统计极端值
94_features,213,0,6,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; Conju-Branch-Ratio; EState-Indice-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,643,0,6,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-PositiveDisCoef; ET(30) (Solvent); PEOE-Charge-PositiveDisCoef,溶剂参数为0，可能代表未知或缺失溶剂信息; 统计极端值
94_features,55,0,5,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,217,0,5,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,317,0,5,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,469,0,5,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,619,0,5,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,627,0,5,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,658,0,5,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,806,0,5,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,807,0,5,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
696_features,41,0,4,Conju-Branch-Num; Conju-Branch-Ratio; SMR_VSA5; VSA_EState1,统计极端值
696_features,508,0,4,Conju-Branch-Num; Conju-Branch-Ratio; VSA_EState3; VSA_EState5,统计极端值
696_features,723,0,4,EState_VSA5; SlogP_VSA8; VSA_EState3; VSA_EState8,统计极端值
94_features,316,0,4,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
94_features,494,0,4,Atomic-LogP-Min; Conju-Branch-Ratio; EState-Indice-GradSum; EState-Indice-PositiveDisCoef,统计极端值
94_features,581,0,4,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; EState-Indice-PositiveDisCoef,统计极端值
94_features,818,0,4,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef; PEOE-Charge-PositiveDisCoef,统计极端值
696_features,39,0,3,EState_VSA5; SMR_VSA5; VSA_EState1,统计极端值
696_features,101,0,3,EState_VSA3; VSA_EState1; VSA_EState3,统计极端值
696_features,117,0,3,Dielectic Constant (Solvent); ET(30) (Solvent); VSA_EState5,溶剂参数为0，可能代表未知或缺失溶剂信息; 统计极端值
696_features,118,0,3,Dielectic Constant (Solvent); ET(30) (Solvent); VSA_EState5,溶剂参数为0，可能代表未知或缺失溶剂信息; 统计极端值
696_features,193,0,3,Conju-Branch-Ratio; Dielectic Constant (Solvent); ET(30) (Solvent),溶剂参数为0，可能代表未知或缺失溶剂信息; 统计极端值
696_features,194,0,3,Dielectic Constant (Solvent); ET(30) (Solvent); VSA_EState5,溶剂参数为0，可能代表未知或缺失溶剂信息; 统计极端值
696_features,494,0,3,Conju-Branch-Ratio; EState_VSA3; VSA_EState2,统计极端值
696_features,569,0,3,Conju-Branch-Num; Conju-Branch-Ratio; VSA_EState5,统计极端值
696_features,722,0,3,EState_VSA5; SlogP_VSA8; VSA_EState3,统计极端值
696_features,736,0,3,Conju-Branch-Num; Conju-Branch-Ratio; VSA_EState1,统计极端值
94_features,122,0,3,Apperant-Elec-Count-PositiveDisCoef; Atomic-LogP-PositiveDisCoef; Atomic-MR-PositiveDisCoef,统计极端值
696_features,55,0,2,EState_VSA5; SMR_VSA5,统计极端值
696_features,97,0,2,VSA_EState3; VSA_EState5,统计极端值
696_features,100,0,2,VSA_EState1; VSA_EState3,统计极端值
696_features,113,0,2,Dielectic Constant (Solvent); ET(30) (Solvent),溶剂参数为0，可能代表未知或缺失溶剂信息
696_features,114,0,2,Dielectic Constant (Solvent); ET(30) (Solvent),溶剂参数为0，可能代表未知或缺失溶剂信息
696_features,115,0,2,Dielectic Constant (Solvent); ET(30) (Solvent),溶剂参数为0，可能代表未知或缺失溶剂信息
696_features,116,0,2,Dielectic Constant (Solvent); ET(30) (Solvent),溶剂参数为0，可能代表未知或缺失溶剂信息
696_features,119,0,2,Dielectic Constant (Solvent); ET(30) (Solvent),溶剂参数为0，可能代表未知或缺失溶剂信息
696_features,120,0,2,Dielectic Constant (Solvent); ET(30) (Solvent),溶剂参数为0，可能代表未知或缺失溶剂信息
696_features,144,0,2,VSA_EState1; VSA_EState5,统计极端值
696_features,189,0,2,VSA_EState1; VSA_EState3,统计极端值
696_features,213,0,2,Conju-Branch-Ratio; EState_VSA5,统计极端值
696_features,259,0,2,VSA_EState1; VSA_EState5,统计极端值
696_features,260,0,2,VSA_EState1; VSA_EState5,统计极端值
696_features,261,0,2,VSA_EState1; VSA_EState5,统计极端值
696_features,310,0,2,VSA_EState3; VSA_EState5,统计极端值
696_features,313,0,2,VSA_EState3; VSA_EState5,统计极端值
696_features,465,0,2,VSA_EState3; VSA_EState5,统计极端值
696_features,506,0,2,VSA_EState3; VSA_EState5,统计极端值
