dataset,molecule_no,field,issue_type,severity,observed_value,expected_rule
696_features,16,VSA_EState3,统计极端值,WARNING,38.29727649,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,39,EState_VSA5,统计极端值,WARNING,436.6158704,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,39,SMR_VSA5,统计极端值,WARNING,569.0556274,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,39,VSA_EState1,统计极端值,WARNING,53.87824104,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,40,EState_VSA5,统计极端值,WARNING,642.0821623,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,40,Kappa3,统计极端值,WARNING,93.73552222,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,40,NumRotatableBonds,统计极端值,WARNING,137.0,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,40,SMR_VSA5,统计极端值,WARNING,774.5219194,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,40,SlogP_VSA5,统计极端值,WARNING,819.5514373,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,40,VSA_EState1,统计极端值,WARNING,54.72693205,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,40,VSA_EState7,统计极端值,WARNING,165.0284612,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,41,Conju-Branch-Num,统计极端值,WARNING,36.0,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,41,Conju-Branch-Ratio,统计极端值,WARNING,1.764705882,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,41,SMR_VSA5,统计极端值,WARNING,569.0556274,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,41,VSA_EState1,统计极端值,WARNING,53.74029395,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,42,Conju-Branch-Num,统计极端值,WARNING,36.0,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,42,Conju-Branch-Ratio,统计极端值,WARNING,1.764705882,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,42,EState_VSA5,统计极端值,WARNING,616.3988758,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,42,Kappa3,统计极端值,WARNING,97.10703576,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,42,NumRotatableBonds,统计极端值,WARNING,137.0,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,42,SMR_VSA5,统计极端值,WARNING,774.5219194,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,42,SlogP_VSA5,统计极端值,WARNING,819.5514373,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,42,VSA_EState1,统计极端值,WARNING,54.59302143,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,42,VSA_EState7,统计极端值,WARNING,164.8992088,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,55,EState_VSA5,统计极端值,WARNING,427.9007635,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,55,SMR_VSA5,统计极端值,WARNING,610.4809698,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,56,VSA_EState5,统计极端值,WARNING,9.670825959,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,57,VSA_EState5,统计极端值,WARNING,9.364238983,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,58,VSA_EState5,统计极端值,WARNING,10.25113383,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,59,VSA_EState5,统计极端值,WARNING,9.568881663,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,60,VSA_EState5,统计极端值,WARNING,9.469499754,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,61,VSA_EState5,统计极端值,WARNING,9.418891288,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,62,VSA_EState5,统计极端值,WARNING,8.906364429,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,63,VSA_EState5,统计极端值,WARNING,8.849972224,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,64,VSA_EState5,统计极端值,WARNING,9.303396614,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,65,VSA_EState5,统计极端值,WARNING,9.571516694,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,83,VSA_EState3,统计极端值,WARNING,54.09874183,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,84,VSA_EState3,统计极端值,WARNING,54.49436467,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,90,VSA_EState5,统计极端值,WARNING,13.95437129,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,91,VSA_EState5,统计极端值,WARNING,20.57615154,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,92,VSA_EState5,统计极端值,WARNING,14.61021765,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,93,VSA_EState5,统计极端值,WARNING,28.45381602,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,94,VSA_EState5,统计极端值,WARNING,29.02691505,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,95,VSA_EState5,统计极端值,WARNING,35.65759839,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,96,VSA_EState5,统计极端值,WARNING,42.26910866,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,97,VSA_EState3,统计极端值,WARNING,46.86964703,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,97,VSA_EState5,统计极端值,WARNING,63.04932141,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,100,VSA_EState1,统计极端值,WARNING,56.10740889,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,100,VSA_EState3,统计极端值,WARNING,36.21581781,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,101,EState_VSA3,统计极端值,WARNING,166.5113523,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,101,VSA_EState1,统计极端值,WARNING,104.4931437,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,101,VSA_EState3,统计极端值,WARNING,72.15913826,|robust z| > 15.0；仅提示人工核查，不代表化学错误
696_features,113,Dielectic Constant (Solvent),溶剂参数为0，可能代表未知或缺失溶剂信息,WARNING,0.0,返回原始溶剂名称核查；不自动删除
696_features,113,ET(30) (Solvent),溶剂参数为0，可能代表未知或缺失溶剂信息,WARNING,0.0,返回原始溶剂名称核查；不自动删除
696_features,114,Dielectic Constant (Solvent),溶剂参数为0，可能代表未知或缺失溶剂信息,WARNING,0.0,返回原始溶剂名称核查；不自动删除
696_features,114,ET(30) (Solvent),溶剂参数为0，可能代表未知或缺失溶剂信息,WARNING,0.0,返回原始溶剂名称核查；不自动删除
