Num-Conju-Stru,Conju-Num-Atom-All,Conju-Num-Atom-Ratio,Conju-Wt-Ave,Full-Mol Wiener Index,Conju-Num-Atom-Individual,Conju-Wt-Part,Conju-Wt-Ave.1,Conju-Max-Distance,Conju-Branch-Ratio,Conju-Stru-Wiener-Index,Conju-Stru-VSA,Apperant-Elec-Count-Sum,Apperant-Elec-Count-Ave,Apperant-Elec-Count-Max,Apperant-Elec-Count-Min,Apperant-Elec-Count-Delta,Apperant-Elec-Count-Weighted,Apperant-Elec-Count-Weighted-Ave,Apperant-Elec-Count-PositiveDisCoef,Apperant-Elec-Count-PositiveDisCoef-PairMean,Apperant-Elec-Count-NegativeDisCoef,Apperant-Elec-Count-NegativeDisCoef-PairMean,Apperant-Elec-Count-GradSum,Apperant-Elec-Count-GradSum-PairMean,Apperant-Elec-Count-MaxMinDisRatio,Apperant-Elec-Count-LaplaceSum,Apperant-Elec-Count-Laplace-PairMean,PEOE-Charge-Sum,PEOE-Charge-Ave,PEOE-Charge-Max,PEOE-Charge-Min,PEOE-Charge-Delta,PEOE-Charge-Weighted,PEOE-Charge-Weighted-Ave,PEOE-Charge-PositiveDisCoef,PEOE-Charge-PositiveDisCoef-PairMean,PEOE-Charge-NegativeDisCoef,PEOE-Charge-NegativeDisCoef-PairMean,PEOE-Charge-GradSum,PEOE-Charge-GradSum-PairMean,PEOE-Charge-MaxMinDisRatio,PEOE-Charge-LaplaceSum,PEOE-Charge-Laplace-PairMean,EState-Indice-Sum,EState-Indice-Ave,EState-Indice-Max,EState-Indice-Min,EState-Indice-Delta,EState-Indice-Weighted,EState-Indice-Weighted-Ave,EState-Indice-PositiveDisCoef,EState-Indice-PositiveDisCoef-PairMean,EState-Indice-NegativeDisCoef,EState-Indice-NegativeDisCoef-PairMean,EState-Indice-GradSum,EState-Indice-GradSum-PairMean,EState-Indice-MaxMinDisRatio,EState-Indice-LaplaceSum,EState-Indice-Laplace-PairMean,Atomic-LogP-Sum,Atomic-LogP-Ave,Atomic-LogP-Max,Atomic-LogP-Min,Atomic-LogP-Delta,Atomic-LogP-Weighted,Atomic-LogP-Weighted-Ave,Atomic-LogP-PositiveDisCoef,Atomic-LogP-PositiveDisCoef-PairMean,Atomic-LogP-NegativeDisCoef,Atomic-LogP-NegativeDisCoef-PairMean,Atomic-LogP-GradSum,Atomic-LogP-GradSum-PairMean,Atomic-LogP-MaxMinDisRatio,Atomic-LogP-LaplaceSum,Atomic-LogP-Laplace-PairMean,Atomic-MR-Sum,Atomic-MR-Ave,Atomic-MR-Max,Atomic-MR-Min,Atomic-MR-Delta,Atomic-MR-Weighted,Atomic-MR-Weighted-Ave,Atomic-MR-PositiveDisCoef,Atomic-MR-PositiveDisCoef-PairMean,Atomic-MR-NegativeDisCoef,Atomic-MR-NegativeDisCoef-PairMean,Atomic-MR-GradSum,Atomic-MR-GradSum-PairMean,Atomic-MR-MaxMinDisRatio,Atomic-MR-LaplaceSum,Atomic-MR-Laplace-PairMean,ET(30) (Solvent),Wavelength (Exp nm),values_ln
3,28,0.848484848,0.796269913,2.623106061,16,200.156,12.50975,10,0.2,1.9625,234.7504956,16,1.0,7,2,5,38,2.375,471,3.925,46.31904762,0.385992063,0.0,0.0,0.5,0.0,0.0,-1.157942725,-0.07237142,0.285785232,-0.860710089,1.146495321,-2.707846239,-0.16924039,1.902087576,0.01585073,-0.031875789,-0.000265632,9.874095042,0.082284125,0.5,5.417999696,0.045149997,35.46918477,2.216824048,17.10022182,3.332696523,13.7675253,79.90134415,4.99383401,2254.791907,18.78993256,206.6584999,1.722154166,52.82137545,0.440178129,0.5,29.52500897,0.246041741,1.3851,0.08656875,1.6159,-0.1423,1.7582,3.5883,0.22426875,2.58609838,0.02155082,-0.003587083,-2.99e-05,15.25363103,0.127113592,0.4,8.726284787,0.07271904,51.5644,3.222775,26.486,4.3274,22.1586,121.7042,7.6065125,4932.268894,41.10224078,479.823593,3.998529942,51.83322,0.4319435,0.6,29.82091085,0.24850759,37.4,750,3.871201011
3,29,0.852941176,0.80664615,2.6942959,17,219.154,12.89141176,11,0.181818182,2.080882353,241.1884426,18,1.058823529,7,2,5,41,2.411764706,661,4.860294118,54.78340548,0.402819158,4.232178932,0.031118963,0.454545455,1.967522147,0.014467075,-1.102064403,-0.064827318,0.285785253,-0.860710089,1.146495342,-2.265662477,-0.133274263,1.7588065,0.012932401,-0.079461421,-0.000584275,11.15173447,0.081998048,0.454545455,6.154536012,0.045253941,44.17484265,2.598520156,16.67188581,2.737313532,13.93457228,82.55403963,4.856119978,4257.391028,31.30434579,233.4950702,1.716875516,115.5127811,0.849358684,0.909090909,60.98455878,0.448415873,1.6472,0.096894118,1.6159,-0.1423,1.7582,3.6923,0.217194118,4.41865765,0.03249013,0.0518127,0.000380976,17.27430632,0.127016958,0.363636364,9.8383358,0.072340704,52.5794,3.092905882,26.486,4.3274,22.1586,125.8832,7.404894118,5248.466869,38.59166815,493.5526751,3.629063788,61.56080887,0.452653006,0.545454545,34.39146188,0.252878396,37.4,760,3.828641396
3,29,0.852941176,0.813461691,2.6942959,17,235.609,13.85935294,11,0.181818182,2.080882353,259.7565618,18,1.058823529,7,2,5,41,2.411764706,661,4.860294118,54.78340548,0.402819158,4.232178932,0.031118963,0.454545455,1.967522147,0.014467075,-1.098916068,-0.064642122,0.285785242,-0.860710089,1.146495331,-2.464307317,-0.144959254,1.598898998,0.01175661,-0.053653387,-0.00039451,10.44371329,0.076792009,0.454545455,5.711191947,0.041994058,39.58747741,2.328675142,16.97834809,3.267480159,13.71086793,82.39034692,4.846490995,3216.780476,23.65279762,230.2233406,1.692818681,77.29251824,0.56832734,0.454545455,42.62572759,0.313424468,2.1615,0.127147059,1.6159,-0.1423,1.7582,4.6966,0.276270588,7.50221946,0.055163378,0.459530704,0.003378902,17.89459012,0.131577869,0.363636364,9.92997672,0.073014535,57.6314,3.390082353,26.486,4.3274,22.1586,131.5492,7.738188235,6784.461088,49.88574329,565.325797,4.156807331,63.22638715,0.464899906,0.545454545,35.11999987,0.258235293,37.4,750,4.477336814
3,29,0.828571429,0.779164017,2.781512605,17,216.155,12.715,11,0.181818182,2.080882353,233.3506272,17,1.0,7,2,5,41,2.411764706,566,4.161764706,50.55122655,0.371700195,0.0,0.0,0.454545455,0.0,0.0,-1.381905901,-0.081288582,0.28578526,-0.860710089,1.146495348,-3.036672807,-0.178627812,4.042396225,0.029723502,-0.075721104,-0.000556773,12.15008586,0.089338867,0.454545455,6.655499874,0.048937499,39.20406457,2.306121445,17.03526159,3.285385199,13.74987639,88.03978129,5.178810664,3114.915603,22.9037912,229.9420672,1.690750494,73.49110329,0.540375759,0.454545455,40.76591782,0.299749396,1.3512,0.079482353,1.638,-0.1423,1.7803,4.0642,0.239070588,1.6729524,0.012301121,-0.153283946,-0.001127088,19.42535131,0.142833465,0.545454545,11.2409957,0.08265438,53.2494,3.132317647,26.486,4.3274,22.1586,128.9272,7.583952941,5424.056416,39.88276777,504.7217016,3.711188982,63.11833398,0.464105397,0.545454545,35.84670269,0.263578696,37.4,750,3.713572067
3,29,0.763157895,0.711610152,3.024893314,17,214.163,12.59782353,11,0.181818182,2.080882353,222.9883727,17,1.0,7,2,5,42,2.470588235,566,4.161764706,50.55122655,0.371700195,0.0,0.0,0.454545455,0.0,0.0,-1.379938546,-0.081172856,0.285785247,-0.860710089,1.146495336,-3.486764289,-0.205103782,3.935407072,0.028936817,-0.020947257,-0.000154024,11.37535375,0.083642307,0.454545455,6.204713599,0.045622894,37.68472186,2.216748345,17.24018442,3.35662373,13.88356069,87.98163292,5.175390172,2705.843074,19.89590496,225.3810695,1.657213746,59.6335114,0.438481701,0.454545455,33.8618435,0.248984143,1.2431,0.073123529,1.6159,-0.1423,1.7582,3.3204,0.195317647,1.11967936,0.008232936,-0.188407683,-0.001385351,19.07561357,0.140261864,0.363636364,10.97960486,0.080732389,55.1004,3.2412,26.486,4.3274,22.1586,135.6622,7.980129412,5982.523914,43.98914643,532.1556939,3.912909514,58.29173643,0.428615709,0.545454545,33.58049159,0.246915379,37.4,740,3.988984047
3,31,0.837837838,0.791777118,2.945945946,19,244.165,12.85078947,12,0.166666667,2.315789474,265.2045029,19,1.0,8,2,6,45,2.368421053,792,4.631578947,59.0965368,0.345593782,0.0,0.0,0.333333333,0.0,0.0,-1.379465816,-0.072603464,0.481121769,-0.860710089,1.341831858,-2.507183037,-0.131957002,4.622551375,0.027032464,-0.208403719,-0.001218735,15.13571553,0.088512956,0.916666667,8.200236748,0.047954601,48.84298648,2.570683499,24.65056154,0.146813074,24.50374846,94.1616152,4.955874484,5818.461484,34.02609055,283.0457247,1.655238156,130.4871791,0.763082919,0.25,67.14059456,0.392635056,1.1292,0.059431579,1.6159,-0.3467,1.9626,2.8213,0.148489474,1.01443268,0.005932355,-0.154235485,-0.000901962,19.08595419,0.111613767,0.916666667,10.52886798,0.061572327,58.0369,3.054573684,26.486,4.3274,22.1586,142.9437,7.523352632,6986.096118,40.85436326,571.9015196,3.344453331,84.77763527,0.495775645,0.5,46.51772139,0.272033458,37.4,750,4.919980926
3,31,0.815789474,0.76976007,3.048364154,19,244.165,12.85078947,12,0.166666667,2.315789474,265.2045029,19,1.0,8,2,6,45,2.368421053,792,4.631578947,59.0965368,0.345593782,0.0,0.0,0.333333333,0.0,0.0,-1.376149907,-0.072428942,0.48139956,-0.860710089,1.342109649,-2.500285606,-0.131593979,4.591401536,0.026850301,-0.208295274,-0.001218101,15.12444492,0.088447046,0.916666667,8.195258099,0.047925486,49.54164579,2.607455041,25.29389487,0.199451963,25.09444291,95.40100247,5.021105393,5988.699243,35.021633,290.9384083,1.701394201,132.3182514,0.773790944,0.25,67.97562591,0.39751828,1.1292,0.059431579,1.6159,-0.3467,1.9626,2.8213,0.148489474,1.01443268,0.005932355,-0.154235485,-0.000901962,19.08595419,0.111613767,0.916666667,10.52886798,0.061572327,58.0369,3.054573684,26.486,4.3274,22.1586,142.9437,7.523352632,6986.096118,40.85436326,571.9015196,3.344453331,84.77763527,0.495775645,0.5,46.51772139,0.272033458,37.4,760,5.170483995
1,27,0.75,0.696745734,4.107142857,27,336.269,12.45440741,17,0.0,3.165242165,381.8995539,27,1.0,15,2,13,62,2.296296296,2222,6.33048433,96.49038919,0.274901394,0.0,0.0,0.294117647,0.0,0.0,-1.70540128,-0.06316301,0.195595473,-0.719182766,0.914778239,-3.124165144,-0.11570982,11.59401189,0.033031373,0.050440354,0.000143705,13.18360197,0.03756012,0.941176471,6.309120019,0.017974701,61.62080224,2.282251935,32.62984352,1.368551569,31.26129195,113.2703367,4.195197654,12191.47163,34.73353741,399.7655055,1.138933064,171.4934947,0.488585455,0.352941176,80.49646294,0.229334652,3.34568,0.123914074,2.54348,-0.1423,2.68578,8.67538,0.32131037,23.22488274,0.066167757,1.365099972,0.003889174,22.90782078,0.065264447,0.647058824,11.6003309,0.033049376,91.5508,3.39077037,52.108,5.613,46.495,217.0768,8.039881481,24789.9657,70.62668291,1146.205902,3.26554388,76.79783707,0.218797257,0.352941176,37.44719912,0.106687177,45.1,750,3.295836866
1,17,0.772727273,0.725759224,2.069264069,17,212.167,12.48041176,10,0.0,2.073529412,224.2748549,17,1.0,8,2,6,40,2.352941176,564,4.147058824,50.0765873,0.368210201,0.0,0.0,0.5,0.0,0.0,-0.777342626,-0.045726037,0.281068582,-0.544031872,0.825100454,-1.12258357,-0.066034328,1.207738201,0.008880428,-0.070661411,-0.000519569,7.742192469,0.056927886,0.9,4.340802995,0.031917669,37.94468438,2.232040257,20.2788265,0.273882223,20.00494427,68.3223532,4.018961953,2834.637916,20.84292585,173.9920406,1.27935324,104.4238596,0.767822497,0.4,53.63163029,0.394350223,1.7547,0.103217647,1.3918,-0.7241,2.1159,3.5899,0.211170588,6.2208959,0.045741882,0.394839019,0.002903228,12.17528885,0.089524183,0.6,6.80866842,0.050063738,57.4345,3.3785,26.3635,5.2285,21.135,142.6325,8.390147059,6236.474287,45.85642858,585.274583,4.303489581,49.79958036,0.366173385,0.5,27.42119227,0.201626414,63.1,800,6.502790046
3,31,0.837837838,0.795596666,3.498498498,25,306.263,14.66966667,11,0.0,2.44,350.903333,25,1.0,13,2,11,58,2.32,1464,4.88,92.93459596,0.309781987,0.0,0.0,0.727272727,0.0,0.0,-1.251663897,-0.050066556,0.099790924,-0.658168276,0.7579592,-2.707156067,-0.108286243,4.353793624,0.014512645,0.084960413,0.000283201,8.455099662,0.028183666,0.727272727,4.397961305,0.014659871,46.32837468,1.853134987,20.31180072,2.374375142,17.93742557,100.7053641,4.028214564,5147.089107,17.15696369,298.3041994,0.994347331,86.52091146,0.288403038,0.727272727,46.09287762,0.153642925,3.3676,0.134704,2.4957,-0.0077,2.5034,8.3791,0.335164,20.18813588,0.067293786,1.714536358,0.005715121,15.91920433,0.053064014,0.909090909,8.137925011,0.027126417,84.964,3.39856,45.952,6.886,39.066,200.238,8.00952,16579.23534,55.26411781,1093.680252,3.645600839,43.93125299,0.14643751,0.727272727,23.24251173,0.077475039,63.1,720,4.262679877
