number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,1.373920631939979,2026-07-14 17:30:00.042477,2026-07-14 17:30:00.684871,0 days 00:00:00.642394,0.8229470565333281,2.8546175198541675,0.06936301500273043,7,8.628364561956555,374,0.0011564063794438954,3.242361456014395,0.7118273996694524,COMPLETE
1,1.2854492669180568,2026-07-14 17:30:00.685875,2026-07-14 17:30:01.309355,0 days 00:00:00.623480,0.5355180290989434,0.37817722465032577,0.08533769276457885,6,8.952623855315053,292,4.0729126673614526e-06,1.404802030126761e-06,0.9627983191463305,COMPLETE
2,1.293226548909203,2026-07-14 17:30:01.310358,2026-07-14 17:30:04.126577,0 days 00:00:02.816219,0.8902645881432277,9.126817624392341e-06,0.1054905806524723,10,12.18821989903413,489,6.728542208135253e-06,0.046998345715499386,0.7307396811264659,COMPLETE
3,1.2538277419681303,2026-07-14 17:30:04.128585,2026-07-14 17:30:06.308598,0 days 00:00:02.180013,0.7280751661082743,0.013725294397634829,0.04109048333460421,5,4.703778569464777,573,0.009528787503464746,1.3714655298321875e-06,0.8871168447171083,COMPLETE
4,1.2333241627866098,2026-07-14 17:30:06.309602,2026-07-14 17:30:08.548018,0 days 00:00:02.238416,0.7185159768996707,0.029285337043072387,0.053158250716715275,10,10.545484187448768,406,0.07645719685939689,2.752377347445372e-06,0.679753950286893,COMPLETE
5,1.5483165846548586,2026-07-14 17:30:08.549022,2026-07-14 17:30:09.523913,0 days 00:00:00.974891,0.7850983852089398,4.826086773500613e-06,0.01767783561621907,3,5.415996912938574,435,0.0011754674140172468,16.449285505781493,0.6818553854713113,COMPLETE
6,1.385033264521316,2026-07-14 17:30:09.524917,2026-07-14 17:30:10.419007,0 days 00:00:00.894090,0.6222127960008014,0.024930571416656794,0.015477995426157931,7,4.54608243555695,204,1.2965434798949026e-05,6.395171808110424e-06,0.7331553864281531,COMPLETE
7,2.040895444961637,2026-07-14 17:30:10.420010,2026-07-14 17:30:10.824212,0 days 00:00:00.404202,0.918972453749402,0.001378733545321332,0.017029378457219,5,12.493905217871092,169,4.706400215419442e-06,13.46355793865356,0.5485506378965306,COMPLETE
8,1.2198916320838644,2026-07-14 17:30:10.825215,2026-07-14 17:30:13.842673,0 days 00:00:03.017458,0.5600982806065844,0.00013494592688471614,0.05144622690316192,8,1.5486290915604894,589,0.00011829908421618741,7.359268315706227e-06,0.6414034812882048,COMPLETE
9,1.3625528930767605,2026-07-14 17:30:13.844680,2026-07-14 17:30:15.292231,0 days 00:00:01.447551,0.7616240267333498,1.6800699062053432,0.011897160204738503,8,8.932420358892053,307,4.545520024447384e-06,0.0160325513639455,0.6326947454697227,COMPLETE
10,1.7282559824030947,2026-07-14 17:30:15.293235,2026-07-14 17:30:15.508626,0 days 00:00:00.215391,0.9878343514195602,6.231742510561944e-05,0.034091325883908154,2,1.2806418044422267,110,0.9397700861539309,0.0003661521571976475,0.8379687275007225,COMPLETE
11,1.3804084107578825,2026-07-14 17:30:15.509629,2026-07-14 17:30:17.385785,0 days 00:00:01.876156,0.642949644741536,0.0003244590922595985,0.045265008547416344,10,14.989008067233673,597,8.80616099658636,6.563331478216515e-05,0.5383865183650831,COMPLETE
12,1.2102185132775705,2026-07-14 17:30:17.386785,2026-07-14 17:30:19.260993,0 days 00:00:01.874208,0.500567918227548,0.015448537568724446,0.05250097566048061,9,1.2868465735750299,493,0.05138511407850429,6.952875315779481e-05,0.6306977777212068,COMPLETE
13,1.1657824294330008,2026-07-14 17:30:19.261996,2026-07-14 17:30:21.966276,0 days 00:00:02.704280,0.5106527077425275,1.0641499535917179e-06,0.03056615251594733,8,1.2464089098341038,517,0.00014211983296353136,0.00012810216725359753,0.6282410960594094,COMPLETE
14,1.1789116475283894,2026-07-14 17:30:21.967280,2026-07-14 17:30:24.520565,0 days 00:00:02.553285,0.5039674210235863,1.178141090176036e-06,0.024415742955965266,8,3.2368910668644135,504,0.10151194727981061,0.0009068040208425363,0.5848667795926494,COMPLETE
15,1.2000397060693135,2026-07-14 17:30:24.521568,2026-07-14 17:30:27.128284,0 days 00:00:02.606716,0.5944507974232083,1.659306479885738e-06,0.026026248532242093,8,3.0902367981046757,511,8.917578916560709e-05,0.0025458688628921633,0.5681916512497104,COMPLETE
16,1.2426774800769098,2026-07-14 17:30:27.130291,2026-07-14 17:30:29.106074,0 days 00:00:01.975783,0.6628092141880498,1.4201345007186922e-06,0.026449811111768196,6,6.4668795093655,520,0.8920990469798438,0.003404200925397936,0.5096061191414203,COMPLETE
17,1.2851733068126163,2026-07-14 17:30:29.108081,2026-07-14 17:30:31.435963,0 days 00:00:02.327882,0.5003294045508766,2.0958810774440344e-05,0.14905715495474262,9,3.0944800031959803,445,0.002779155406813012,0.23648662874360066,0.5926277704537145,COMPLETE
18,1.2043999011396989,2026-07-14 17:30:31.436967,2026-07-14 17:30:32.970786,0 days 00:00:01.533819,0.570468253143156,2.4558848302042605e-05,0.023732288165449488,7,2.636444942286198,356,9.60668979224641e-05,0.00030885362052701415,0.7863835051078922,COMPLETE
19,1.2190210622448021,2026-07-14 17:30:32.971790,2026-07-14 17:30:35.902439,0 days 00:00:02.930649,0.6690560724402941,1.0191081965229732e-06,0.03171592414389505,9,6.957558373248698,536,0.09633238004667678,3.693309319162594e-05,0.5981041596973129,COMPLETE
20,1.4398237623911687,2026-07-14 17:30:35.904446,2026-07-14 17:30:37.132997,0 days 00:00:01.228551,0.5531891058775849,7.029425071520865e-06,0.010273633780059419,4,3.572932411100057,457,1.0371863432972039e-06,0.000690685263640988,0.7873989440018571,COMPLETE
21,1.205688028194596,2026-07-14 17:30:37.134000,2026-07-14 17:30:39.922536,0 days 00:00:02.788536,0.5984570656992929,2.685084581221741e-06,0.02252205681740805,8,2.5301413071735457,547,0.00016963343934638876,0.0017467594035814177,0.5761759766009598,COMPLETE
22,1.2275284242307074,2026-07-14 17:30:39.924543,2026-07-14 17:30:42.674130,0 days 00:00:02.749587,0.5949152008534544,2.0024703392609395e-06,0.031398733192785105,8,3.8580838739507315,494,3.66565880049107e-05,0.017583841481206997,0.5036610158180564,COMPLETE
23,1.2215497833376294,2026-07-14 17:30:42.675134,2026-07-14 17:30:44.932274,0 days 00:00:02.257140,0.5269017605221487,1.3401078203868895e-05,0.02217142583309342,6,5.955756799909313,538,0.0003908315151965198,0.0033043407074350413,0.5651136863102717,COMPLETE
24,1.2175596514015243,2026-07-14 17:30:44.933274,2026-07-14 17:30:47.860602,0 days 00:00:02.927328,0.5959643725244382,5.2985489534022173e-05,0.036776760177294504,9,2.1501121467315074,464,0.00835860344251698,0.10409319095978871,0.6561671935671808,COMPLETE
25,1.2341687954377432,2026-07-14 17:30:47.861605,2026-07-14 17:30:49.847449,0 days 00:00:01.985844,0.6852784628835681,1.0708970247529367e-06,0.019355294037721224,7,4.113503345254527,407,2.7153701595969407e-05,0.00014966724867509988,0.6016922469218347,COMPLETE
26,1.2022366579394377,2026-07-14 17:30:49.848449,2026-07-14 17:30:52.911202,0 days 00:00:03.062753,0.5292350927336136,4.248410731684325e-06,0.013718543026143616,8,2.8943312495455458,559,0.5750076608514644,0.010206858833765953,0.5435707602154491,COMPLETE
27,1.2371544436217783,2026-07-14 17:30:52.913209,2026-07-14 17:30:55.909614,0 days 00:00:02.996405,0.6167106402907794,0.00036841590867288095,0.02805417379446306,9,7.5481792850978655,510,0.01385279927206965,0.0015227911390543567,0.6874935360421608,COMPLETE
28,1.2386247631965372,2026-07-14 17:30:55.910617,2026-07-14 17:30:57.930703,0 days 00:00:02.020086,0.5764972403660159,3.8696952310455125e-06,0.019603512306936164,7,5.194861548146557,415,0.000575444285071235,1.830510480416887e-05,0.6122794235578678,COMPLETE
29,1.2081582620950797,2026-07-14 17:30:57.932709,2026-07-14 17:31:00.311459,0 days 00:00:02.378750,0.5026881172635763,3.477752346984417e-05,0.07319703120259528,7,2.1352527326669843,474,0.0026218816644581087,0.47256561859111257,0.718983429975306,COMPLETE
30,1.2832129613010672,2026-07-14 17:31:00.312462,2026-07-14 17:31:01.838825,0 days 00:00:01.526363,0.6283575055631553,1.0058866160837404e-05,0.02659316054655227,6,3.709380936126852,362,2.577358559540109,0.8579668520482144,0.524571724758667,COMPLETE
31,1.1840165765809245,2026-07-14 17:31:01.839829,2026-07-14 17:31:04.834228,0 days 00:00:02.994399,0.5500991919667523,3.7245107542207786e-06,0.014545553163696776,8,2.985790574082526,560,0.35117339270214293,0.007698090417735111,0.5566856573666801,COMPLETE
32,1.1784400575960159,2026-07-14 17:31:04.835232,2026-07-14 17:31:08.263614,0 days 00:00:03.428382,0.5522959856804627,2.6667648811393513e-06,0.01381266091066968,8,1.0465179765087567,566,0.30563903550702576,0.005531212145234238,0.5769846914968453,COMPLETE
33,1.2314401718069645,2026-07-14 17:31:08.264618,2026-07-14 17:31:11.955342,0 days 00:00:03.690724,0.5400395475617814,6.82168700505232e-06,0.013764716863063756,9,1.290195085876699,564,0.21870612244927537,0.009130518626970277,0.9881902714160395,COMPLETE
34,1.21213366796042,2026-07-14 17:31:11.957350,2026-07-14 17:31:15.373061,0 days 00:00:03.415711,0.5323307256282236,2.953104740513854e-06,0.010266574542649306,8,2.2111769484594026,600,0.27439879342283524,0.0007415509352550517,0.658362672068016,COMPLETE
35,1.4943922626992445,2026-07-14 17:31:15.375068,2026-07-14 17:31:17.930996,0 days 00:00:02.555928,0.5600861631640426,1.2067272595265062e-05,0.014238070924912378,10,1.1758996292893737,564,9.093272094149356,0.028024216491402795,0.614716329854379,COMPLETE
36,1.2521110730052003,2026-07-14 17:31:17.931999,2026-07-14 17:31:20.204928,0 days 00:00:02.272929,0.5283198569174323,0.00011824480265944192,0.012401430352063177,6,4.874654727622624,527,0.03747662767630034,0.07375588454184827,0.5705171835385315,COMPLETE
37,1.2361374591204934,2026-07-14 17:31:20.205932,2026-07-14 17:31:22.968716,0 days 00:00:02.762784,0.573532899679662,3.162676424844049e-06,0.01764147264177286,7,2.171266157492359,487,2.2215030967576124,0.005320658425207088,0.7495312960455207,COMPLETE
38,1.2263402644174373,2026-07-14 17:31:22.969719,2026-07-14 17:31:25.574579,0 days 00:00:02.604860,0.8563094105338805,0.11266005517794214,0.019779300044310298,10,4.37346263371874,547,0.20677172845016037,0.000887126610004749,0.9365937604695345,COMPLETE
39,1.1947356956169342,2026-07-14 17:31:25.575582,2026-07-14 17:31:28.945378,0 days 00:00:03.369796,0.7002953447861578,6.660414124855881e-06,0.015720300754444923,8,3.3224057052833817,576,0.02623890650393355,0.00014264313552878367,0.6893200686435923,COMPLETE
40,1.3220708937848256,2026-07-14 17:31:28.946381,2026-07-14 17:31:30.714353,0 days 00:00:01.767972,0.5176910457752305,1.95672592251528e-05,0.011078044594438964,5,1.696858375012583,441,0.1177053312591313,0.00021053807199947165,0.6655425813380951,COMPLETE
41,1.2099400766845332,2026-07-14 17:31:30.715356,2026-07-14 17:31:34.093587,0 days 00:00:03.378231,0.7166643340129008,1.031572431404052e-06,0.015944995492541705,8,3.3782201921969284,577,0.012450904061634915,0.00011366868078933544,0.7030128143563776,COMPLETE
42,1.236723549762055,2026-07-14 17:31:34.095594,2026-07-14 17:31:36.975392,0 days 00:00:02.879798,0.8172839266373595,6.243551760528058e-06,0.013196764378013778,7,5.740443146181372,572,0.018911203296453665,2.5534435168609267e-05,0.6435364648861154,COMPLETE
43,1.233695006772797,2026-07-14 17:31:36.976395,2026-07-14 17:31:39.891576,0 days 00:00:02.915181,0.7844257144644081,2.79997235136738e-06,0.04017406446093822,8,4.411883111504074,513,0.032910419551748886,8.01577572893512e-06,0.6241331246124167,COMPLETE
