model_row,Old_index_1,smiles,canonical_smiles,doi,compoundId,Conju-Max-Distance,Wavelength (Exp nm),ET(30) (Solvent),PEOE-Charge-Max,Atomic-LogP-Min,Atomic-MR-Max,rg,asphericity,eccentricity,num_chiral_centers,num_cis_trans,rg_mw_ratio,molecular_weight,rigid_bond_ratio,values_ln
0,1,CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccccc1)=C2,CAN:CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccccc1)=C2,10.1016/j.jorganchem.2013.12.036,2a,10,750,37.4,0.285785232,-0.1423,26.486,4.2094920542702825,0.24265763532660115,0.9153025889162533,0,0,0.00973572088707579,432.3760000000001,0.13513513513513514,3.871201011
1,2,CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(F)cc1)=C2,CAN:CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(F)cc1)=C2,10.1016/j.jorganchem.2013.12.036,2b,11,760,37.4,0.285785253,-0.1423,26.486,4.353598768112091,0.2682984724237468,0.9265019238229046,0,0,0.009666801597172278,450.3660000000001,0.13157894736842105,3.828641396
2,3,CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(Cl)cc1)=C2,CAN:CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(Cl)cc1)=C2,10.1016/j.jorganchem.2013.12.037,2c,11,750,37.4,0.285785242,-0.1423,26.486,4.5333655851612455,0.2696091030073193,0.9275931784305677,0,0,0.009711143211554845,466.82100000000014,0.13157894736842105,4.477336814
3,5,CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(OC)cc1)=C2,CAN:CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(OC)cc1)=C2,10.1016/j.jorganchem.2013.12.039,2e,11,750,37.4,0.28578526,-0.1423,26.486,4.51218063604989,0.27134580770561134,0.9279070968317294,0,0,0.009758133909563298,462.40200000000016,0.1282051282051282,3.713572067
4,6,CCN(CC)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,CAN:CCN(CC)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,10.1016/j.jorganchem.2013.12.040,2f,11,740,37.4,0.285785247,-0.1423,26.486,4.850970621289703,0.36541142573847735,0.9551322758510057,0,0,0.009634518879460935,503.4990000000002,0.11904761904761904,3.988984047
5,7,CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(C(=O)OC)cc1)=C2,CAN:CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(C(=O)OC)cc1)=C2,10.1016/j.jorganchem.2013.12.041,2g,12,750,37.4,0.481121769,-0.3467,26.486,4.772782756158188,0.346814191281091,0.950460826707832,0,0,0.009732189987516997,490.4120000000002,0.14634146341463414,4.919980926
6,8,CCOC(=O)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,CAN:CCOC(=O)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,10.1016/j.jorganchem.2013.12.042,2h,12,760,37.4,0.48139956,-0.3467,26.486,4.905360432998046,0.3893184985791148,0.9596939927846386,0,0,0.009724387751537935,504.4390000000002,0.14285714285714285,5.170483995
7,9,CCN(CC)c1ccc(/C=N/c2ccc(/C(C#N)=C/c3ccc(N(CC)CCO)cc3)cc2)c(O)c1,CAN:CCN(CC)c1ccc(/C=N/c2ccc(/C(C#N)=C/c3ccc(N(CC)CCO)cc3)cc2)c(O)c1,10.1016/j.saa.2018.03.039,-,17,750,45.1,0.195595473,-0.1423,52.108,7.246102907952839,0.858172773321917,0.9987572400925765,0,2,0.015013846913052775,482.62800000000027,0.07894736842105263,3.295836866
8,10,Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccccc3)C1=N2,CAN:Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccccc3)C1=N2,10.1021/jacs.8b10235,-,10,800,63.1,0.281068582,-0.7241,26.3635,3.552432966686698,0.44748547358966423,0.9706841872640776,1,0,0.012151800199381188,292.338,0.4,6.502790046
9,11,CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccccn3)cc(-c3ccccn3)c2)cc1,CAN:CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccccn3)cc(-c3ccccn3)c2)cc1,10.1016/j.saa.2017.07.057,A1,11,720,63.1,0.099790924,-0.0077,45.952,5.5468643021542094,0.4585536928608982,0.9726935691728748,0,0,0.011192694408266307,495.5790000000001,0.05,4.262679877
10,12,CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3cccnc3)cc(-c3cccnc3)c2)cc1,CAN:CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3cccnc3)cc(-c3cccnc3)c2)cc1,10.1016/j.saa.2017.07.057,A2,11,720,63.1,0.01897249,-0.0077,45.952,5.625236813252558,0.3827916235928023,0.9600856906553502,0,0,0.011350837733746903,495.5790000000001,0.05,4.65396035
11,13,CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)cc1,CAN:CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)cc1,10.1016/j.saa.2017.07.057,A3,11,700,63.1,-0.023913527,-0.0077,45.952,5.6338017375691,0.36975864050355584,0.9575644684395722,0,0,0.011368120395676772,495.5790000000001,0.05,4.543294782
12,14,CCN(CC)c1ccc2cc(/C=N/NC(=S)SCc3ccccc3)c(=O)oc2c1,CAN:CCN(CC)c1ccc2cc(/C=N/NC(=S)SCc3ccccc3)c(=O)oc2c1,10.1016/j.snb.2016.10.032,-,11,700,45.1,0.610773072,-0.9879,38.675,5.667322009638402,0.710112621405626,0.9939672480400649,0,1,0.013316733226118769,425.5790000000002,0.0967741935483871,5.616771098
13,15,CN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,CAN:CN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,10.1016/j.dyepig.2016.09.012,Z1,12,710,43.2,0.386268119,-0.3061,52.108,4.98946461130804,0.791297335462634,0.9971677156713088,0,1,0.0154304430197062,323.35200000000003,0.12,6.952613915
14,16,CCN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,CAN:CCN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,10.1016/j.dyepig.2016.09.012,Z2,12,710,43.2,0.386268119,-0.3061,52.108,5.102593198952136,0.7761464948989498,0.9966855461858698,0,1,0.015124216975425667,337.379,0.11538461538461539,8.281756893
