model_row,Old_index_1,smiles,canonical_smiles,doi,compoundId,Solvent,selected_point_index,wavelength,TPACS,values_ln,elements
0,1,CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccccc1)=C2,CAN:CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccccc1)=C2,10.1016/j.jorganchem.2013.12.036,2a,THF,1,750.0,48.0,3.871201011,"B,C,H,N,O"
1,2,CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(F)cc1)=C2,CAN:CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(F)cc1)=C2,10.1016/j.jorganchem.2013.12.036,2b,THF,2,760.0,46.0,3.828641396,"B,C,F,H,N,O"
2,3,CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(Cl)cc1)=C2,CAN:CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(Cl)cc1)=C2,10.1016/j.jorganchem.2013.12.037,2c,THF,1,750.0,88.0,4.477336814,"B,C,Cl,H,N,O"
3,5,CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(OC)cc1)=C2,CAN:CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(OC)cc1)=C2,10.1016/j.jorganchem.2013.12.039,2e,THF,1,750.0,41.0,3.713572067,"B,C,H,N,O"
4,6,CCN(CC)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,CAN:CCN(CC)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,10.1016/j.jorganchem.2013.12.040,2f,THF,0,740.0,54.0,3.988984047,"B,C,H,N,O"
5,7,CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(C(=O)OC)cc1)=C2,CAN:CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(C(=O)OC)cc1)=C2,10.1016/j.jorganchem.2013.12.041,2g,THF,1,750.0,137.0,4.919980926,"B,C,H,N,O"
6,8,CCOC(=O)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,CAN:CCOC(=O)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,10.1016/j.jorganchem.2013.12.042,2h,THF,2,760.0,176.0,5.170483995,"B,C,H,N,O"
7,9,CCN(CC)c1ccc(/C=N/c2ccc(/C(C#N)=C/c3ccc(N(CC)CCO)cc3)cc2)c(O)c1,CAN:CCN(CC)c1ccc(/C=N/c2ccc(/C(C#N)=C/c3ccc(N(CC)CCO)cc3)cc2)c(O)c1,10.1016/j.saa.2018.03.039,-,DMSO,2,750.0,27.0,3.295836866,"C,H,N,O"
8,10,Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccccc3)C1=N2,CAN:Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccccc3)C1=N2,10.1021/jacs.8b10235,-,H2O,0,800.0,667.0,6.502790046,"C,H,N,O"
9,11,CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccccn3)cc(-c3ccccn3)c2)cc1,CAN:CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccccn3)cc(-c3ccccn3)c2)cc1,10.1016/j.saa.2017.07.057,A1,PBS-Triton,1,720.0,71.0,4.262679877,"C,H,N,O"
