样本索引,基线值,Conju-Max-Distance_SHAP,Wavelength_SHAP,ET(30)_SHAP,PEOE-Charge_SHAP,Atomic-LogP_SHAP,Atomic-MR_SHAP,rg_SHAP,SHAP总和,重建预测值,模型预测值,误差
0,5.997935,-0.7862011,-0.20950069,0.01969201,0.059648085,-0.16395803,-0.5571266,-0.5030031,-2.1404495,3.8574853,3.8574846,7.1525574e-07
1,5.997935,-0.79615504,-0.12153704,0.023157569,-0.06695721,-0.199336,-0.6338498,-0.40303832,-2.1977158,3.800219,3.800217,2.1457672e-06
2,5.997935,-0.7252028,-0.20931014,0.009412479,0.049308915,-0.1836374,-0.63200194,-0.008996085,-1.7004272,4.297508,4.2975082,4.7683716e-07
3,5.997935,-0.7772913,-0.22365381,-0.02508578,-0.07701925,-0.18688843,-0.65293664,-0.20802884,-2.150904,3.8470309,3.8470283,2.6226044e-06
4,5.997935,-0.71856135,0.0038152584,0.014431182,-0.05108948,-0.2220126,-0.6706277,-0.29737842,-1.941423,4.056512,4.05651,1.9073486e-06
5,5.997935,-0.66844314,-0.12220038,0.012912192,0.24472317,0.06336343,-0.40978467,-0.17452486,-1.0539542,4.9439807,4.943984,3.33786e-06
6,5.997935,-0.6313294,-0.043967515,0.056301564,0.14730376,0.027311813,-0.40210372,-0.013867877,-0.8603513,5.1375837,5.1375847,9.536743e-07
7,5.997935,-0.2029286,-0.43790436,-0.3040691,-0.64225006,-0.47374657,0.115949176,-0.6369275,-2.5818772,3.4160576,3.416059,1.4305115e-06
8,5.997935,-0.6268778,-0.024203017,0.29223725,0.38117668,0.14785837,0.20784667,0.055902008,0.43394017,6.431875,6.4318805,5.2452087e-06
9,5.997935,-0.5719093,-0.17046162,-0.2004322,-0.29600832,-0.14302993,-0.059573174,-0.22133248,-1.662747,4.335188,4.33519,1.9073486e-06
10,5.997935,-0.57107455,-0.15603098,-0.1829768,-0.29269108,-0.1449986,-0.061791822,-0.05192001,-1.4614837,4.5364513,4.5364547,3.33786e-06
11,5.997935,-0.5163915,-0.20063339,-0.17278284,-0.24223915,-0.14825833,-0.06912764,-0.076638296,-1.4260713,4.5718637,4.5718637,0.0
12,5.997935,-0.8885166,-0.20232345,-0.1044569,0.056595843,0.7895928,-0.009638332,0.062847644,-0.2958991,5.702036,5.7020373,1.4305115e-06
13,5.997935,-0.22407241,0.14564258,0.23178759,0.36225966,0.10675689,0.69010645,0.01661537,1.3290961,7.327031,7.3270307,4.7683716e-07
14,5.997935,-0.1955304,0.12743393,0.36930898,0.4252973,0.15646546,0.74521023,0.5118632,2.1400487,8.137983,8.13799,6.67572e-06
15,5.997935,-0.1489792,0.37503707,0.3602032,0.493445,0.19609973,0.81781524,0.5782235,2.6718445,8.669779,8.669783,3.8146973e-06
16,5.997935,-0.33908436,-0.17131092,0.15284121,0.36172542,0.2557136,0.46482894,0.026309457,0.75102335,6.748958,6.748962,3.8146973e-06
17,5.997935,-0.22550991,0.17083961,0.21091838,0.31126744,0.28271946,0.6412918,-0.050476722,1.34105,7.338985,7.3389874,2.3841858e-06
18,5.997935,-0.2034113,0.20215316,0.21399213,0.33644074,0.32621434,0.7137911,0.2109067,1.800087,7.798022,7.7980223,4.7683716e-07
19,5.997935,0.49069333,-0.02387552,0.16420095,0.05407241,-0.116721965,0.08274021,0.446951,1.0980604,7.095995,7.095998,2.861023e-06
20,5.997935,-0.35693553,0.20180108,0.21035242,-0.11399936,0.07927266,-0.67651534,0.01957222,-0.6364519,5.361483,5.3614826,4.7683716e-07
21,5.997935,-0.4139929,0.280455,0.07592621,-0.0017503914,0.060408585,-0.6558599,-0.24019417,-0.8950076,5.102927,5.1029315,4.2915344e-06
22,5.997935,-0.3616781,0.36096948,0.15838669,-0.061693367,0.08439475,-0.6551181,-0.1906313,-0.66537,5.332565,5.332565,0.0
23,5.997935,-0.6110033,0.258901,0.04221209,-0.07999723,0.035189282,0.3366932,0.0664887,0.048483774,6.0464187,6.0464215,2.861023e-06
24,5.997935,-0.51117736,0.42451134,0.22051707,0.06359158,0.042089198,0.32012743,0.08867891,0.64833814,6.646273,6.6462784,5.2452087e-06
25,5.997935,-0.5214226,0.4519534,0.1406798,-0.07279446,0.0026362028,0.31378,0.066654,0.38148636,6.379421,6.3794255,4.2915344e-06
26,5.997935,-0.191518,0.114859164,0.08116034,0.06337922,0.20483834,0.19386806,0.11094568,0.5775328,6.5754676,6.5754633,4.2915344e-06
27,5.997935,-0.09556468,0.1408016,0.12744227,0.21778855,0.089850135,0.18293034,0.17465174,0.8378999,6.8358345,6.835834,4.7683716e-07
28,5.997935,-0.14304076,0.2165011,0.08508521,0.08408433,0.36429912,0.45989504,-0.15024975,0.91657436,6.9145093,6.914507,2.3841858e-06
29,5.997935,-0.029813873,0.21591836,0.17647777,0.34185925,0.18248844,0.43830284,0.4614036,1.7866365,7.784571,7.7845693,1.9073486e-06
30,5.997935,-0.2733837,0.00140542,0.105946705,0.088242434,0.34773743,0.06048257,-0.01106156,0.3193693,6.317304,6.3173013,2.861023e-06
31,5.997935,-0.47553214,0.121989556,0.40423095,0.62287354,0.33864784,0.8374994,0.31393465,2.1636438,8.161579,8.161586,6.67572e-06
32,5.997935,-0.5070236,-0.0668522,0.015290711,-0.00014935387,0.08814726,-0.014581092,-0.12147349,-0.60664177,5.391293,5.3912883,4.7683716e-06
33,5.997935,-0.098080724,0.16276065,0.26647598,0.17665686,0.17808451,0.5404005,0.5015405,1.7278383,7.725773,7.725772,9.536743e-07
34,5.997935,-0.258723,0.738435,0.32756016,0.73639226,0.31314614,0.5665947,0.4980638,2.921469,8.919404,8.919397,6.67572e-06
35,5.997935,0.012406134,0.7897669,0.405511,0.8159785,0.28634593,0.14545505,0.47173637,2.9272,8.925135,8.925138,3.8146973e-06
36,5.997935,-0.22032763,0.49769863,0.20926324,0.7569648,0.23058324,0.35403806,0.08993621,1.9181566,7.9160914,7.9160953,3.8146973e-06
37,5.997935,0.03457953,0.012875197,-0.028121313,0.07102326,-0.20772403,-0.035710886,-0.15081093,-0.30388916,5.6940455,5.694041,4.7683716e-06
